Raw Score,Total,DEP,ANS,O-K,PHO,SOM,S-I,HOS,PAR,PSI,ADD
198,106,,,,,,,,,,
199,107,,,,,,,,,,
200,107,,,,,,,,,,
201,107,,,,,,,,,,
202,108,,,,,,,,,,
203,108,,,,,,,,,,
204,108,,,,,,,,,,
205,109,,,,,,,,,,
206,109,,,,,,,,,,
207,109,,,,,,,,,,
208,110,,,,,,,,,,
209,110,,,,,,,,,,
210,110,,,,,,,,,,
211,111,,,,,,,,,,
212,111,,,,,,,,,,
213,111,,,,,,,,,,
214,112,,,,,,,,,,
215,112,,,,,,,,,,
216,112,,,,,,,,,,
217,113,,,,,,,,,,
218,113,,,,,,,,,,
219,113,,,,,,,,,,
220,114,,,,,,,,,,
221,114,,,,,,,,,,
222,114,,,,,,,,,,
223,115,,,,,,,,,,
224,115,,,,,,,,,,
225,115,,,,,,,,,,
226,116,,,,,,,,,,
227,116,,,,,,,,,,
228,116,,,,,,,,,,
229,117,,,,,,,,,,
230,117,,,,,,,,,,
231,117,,,,,,,,,,
232,118,,,,,,,,,,
233,118,,,,,,,,,,
234,118,,,,,,,,,,
235,119,,,,,,,,,,
236,119,,,,,,,,,,
237,119,,,,,,,,,,
238,120,,,,,,,,,,
239,120,,,,,,,,,,
240,121,,,,,,,,,,
241,121,,,,,,,,,,
242,121,,,,,,,,,,
243,122,,,,,,,,,,
244,122,,,,,,,,,,
245,122,,,,,,,,,,
246,123,,,,,,,,,,
247,123,,,,,,,,,,
248,123,,,,,,,,,,
249,124,,,,,,,,,,
250,124,,,,,,,,,,
251,124,,,,,,,,,,
252,125,,,,,,,,,,
253,125,,,,,,,,,,
254,125,,,,,,,,,,
255,126,,,,,,,,,,
256,126,,,,,,,,,,
257,126,,,,,,,,,,
258,127,,,,,,,,,,
259,127,,,,,,,,,,
260,127,,,,,,,,,,
261,128,,,,,,,,,,
262,128,,,,,,,,,,
263,128,,,,,,,,,,
264,129,,,,,,,,,,
265,129,,,,,,,,,,
266,129,,,,,,,,,,
267,130,,,,,,,,,,
268,130,,,,,,,,,,
269,130,,,,,,,,,,
270,131,,,,,,,,,,
271,131,,,,,,,,,,
272,131,,,,,,,,,,
273,132,,,,,,,,,,
274,132,,,,,,,,,,
275,132,,,,,,,,,,
276,133,,,,,,,,,,
277,133,,,,,,,,,,
278,133,,,,,,,,,,
279,134,,,,,,,,,,
280,134,,,,,,,,,,
281,134,,,,,,,,,,
282,135,,,,,,,,,,
283,135,,,,,,,,,,
284,135,,,,,,,,,,
285,136,,,,,,,,,,
286,136,,,,,,,,,,
287,136,,,,,,,,,,
288,137,,,,,,,,,,
289,137,,,,,,,,,,
290,137,,,,,,,,,,
291,138,,,,,,,,,,
292,138,,,,,,,,,,
293,138,,,,,,,,,,
294,139,,,,,,,,,,
295,139,,,,,,,,,,
296,139,,,,,,,,,,
297,140,,,,,,,,,,
298,140,,,,,,,,,,
299,141,,,,,,,,,,
300,141,,,,,,,,,,
301,141,,,,,,,,,,
302,142,,,,,,,,,,
303,142,,,,,,,,,,
304,142,,,,,,,,,,
305,143,,,,,,,,,,
306,143,,,,,,,,,,
307,143,,,,,,,,,,
308,144,,,,,,,,,,
309,144,,,,,,,,,,
310,144,,,,,,,,,,
311,145,,,,,,,,,,
312,145,,,,,,,,,,
313,145,,,,,,,,,,
314,146,,,,,,,,,,
315,146,,,,,,,,,,
316,146,,,,,,,,,,
317,147,,,,,,,,,,
318,147,,,,,,,,,,
319,147,,,,,,,,,,
320,148,,,,,,,,,,
321,148,,,,,,,,,,
322,148,,,,,,,,,,
323,149,,,,,,,,,,
324,149,,,,,,,,,,
325,149,,,,,,,,,,
326,150,,,,,,,,,,
327,150,,,,,,,,,,
328,150,,,,,,,,,,
329,151,,,,,,,,,,
330,151,,,,,,,,,,
331,151,,,,,,,,,,
332,152,,,,,,,,,,
333,152,,,,,,,,,,
334,152,,,,,,,,,,
335,153,,,,,,,,,,
336,153,,,,,,,,,,
337,153,,,,,,,,,,
338,154,,,,,,,,,,
339,154,,,,,,,,,,
340,154,,,,,,,,,,
341,155,,,,,,,,,,
342,155,,,,,,,,,,
343,155,,,,,,,,,,
344,156,,,,,,,,,,
345,156,,,,,,,,,,
346,156,,,,,,,,,,
347,157,,,,,,,,,,
348,157,,,,,,,,,,
349,157,,,,,,,,,,
350,158,,,,,,,,,,
351,158,,,,,,,,,,
352,158,,,,,,,,,,
353,159,,,,,,,,,,
354,159,,,,,,,,,,
355,159,,,,,,,,,,
356,160,,,,,,,,,,
357,160,,,,,,,,,,
358,161,,,,,,,,,,
359,161,,,,,,,,,,
360,161,,,,,,,,,,
